Date;SPX;LIBOR
18.12.1986;266.6569;0.064375
19.12.1986;269.8445;0.065625
22.12.1986;268.7856;0.06875
23.12.1986;266.1814;0.066875
24.12.1986;266.6245;0.066875
25.12.1986;266.6245;0.066875
26.12.1986;266.8082;0.066875
29.12.1986;264.3769;0.066875
30.12.1986;262.9722;0.06375
31.12.1986;262.4211;0.06375
01.01.1987;262.4211;0.06375
02.01.1987;267.0591;0.06375
05.01.1987;273.2791;0.0625
06.01.1987;273.9184;0.0625
07.01.1987;276.6816;0.0625
08.01.1987;278.8055;0.06125
09.01.1987;280.366;0.06125
12.01.1987;282.0672;0.06125
13.01.1987;281.688;0.0625
14.01.1987;284.6029;0.0625
15.01.1987;287.6913;0.061875
16.01.1987;288.5473;0.06125
19.01.1987;291.8632;0.061875
20.01.1987;291.5381;0.061875
21.01.1987;290.2378;0.061875
22.01.1987;296.8154;0.061875
23.01.1987;292.6868;0.061875
26.01.1987;292.1558;0.0625
27.01.1987;296.642;0.0625
28.01.1987;298.43;0.0625
29.01.1987;297.173;0.0625
30.01.1987;297.7581;0.0625
02.02.1987;300.3329;0.063125
03.02.1987;299.8331;0.063125
04.02.1987;303.7985;0.0625
05.02.1987;305.4498;0.0625
06.02.1987;304.233;0.0625
09.02.1987;302.1906;0.063125
10.02.1987;298.8336;0.064375
11.02.1987;301.517;0.065625
12.02.1987;299.4312;0.065625
13.02.1987;303.8636;0.064375
16.02.1987;303.8636;0.064375
17.02.1987;310.1538;0.066875
18.02.1987;310.0778;0.06625
19.02.1987;310.2408;0.065
20.02.1987;310.143;0.064375
23.02.1987;306.7752;0.065
24.02.1987;307.3184;0.065
25.02.1987;308.5351;0.064375
26.02.1987;307.4053;0.064375
27.02.1987;309.5237;0.064375
02.03.1987;308.2168;0.064375
03.03.1987;309.4366;0.064375
04.03.1987;314.3376;0.064375
05.03.1987;316.4069;0.06375
06.03.1987;316.5594;0.064375
09.03.1987;313.9891;0.065
10.03.1987;316.7772;0.065
11.03.1987;316.1782;0.065
12.03.1987;317.1693;0.065
13.03.1987;315.7207;0.065
16.03.1987;313.9128;0.065
17.03.1987;318.5306;0.065
18.03.1987;318.8683;0.065
19.03.1987;320.2841;0.065
20.03.1987;324.7385;0.064375
23.03.1987;327.995;0.064375
24.03.1987;328.5177;0.065625
25.03.1987;327.1455;0.065
26.03.1987;327.7445;0.065
27.03.1987;322.5168;0.065
30.03.1987;314.9693;0.06625
31.03.1987;318.4544;0.066875
01.04.1987;319.2077;0.066875
02.04.1987;320.5614;0.06625
03.04.1987;327.9633;0.06625
06.04.1987;329.6445;0.065625
07.04.1987;323.9021;0.065625
08.04.1987;324.5244;0.065625
09.04.1987;319.7208;0.065625
10.04.1987;319.3169;0.0675
13.04.1987;311.8167;0.0675
14.04.1987;304.7642;0.071875
15.04.1987;310.5285;0.070125
16.04.1987;313.2251;0.06875
17.04.1987;313.2251;0.06875
20.04.1987;312.3299;0.06875
21.04.1987;319.9501;0.07
22.04.1987;313.5307;0.06875
23.04.1987;313.1268;0.07
24.04.1987;307.3407;0.070625
27.04.1987;307.6791;0.0725
28.04.1987;308.4215;0.07125
29.04.1987;310.6704;0.070125
30.04.1987;315.6268;0.07125
01.05.1987;315.2656;0.071875
04.05.1987;316.7214;0.071875
05.05.1987;323.2669;0.073125
06.05.1987;323.4092;0.073125
07.05.1987;322.5773;0.0725
08.05.1987;321.1106;0.071875
11.05.1987;319.1404;0.071875
12.05.1987;321.034;0.0725
13.05.1987;321.7783;0.071875
14.05.1987;322.0628;0.0725
15.05.1987;314.6089;0.0725
18.05.1987;313.7551;0.075
19.05.1987;306.0604;0.075625
20.05.1987;304.5171;0.076875
21.05.1987;306.6624;0.076875
22.05.1987;308.8406;0.076875
25.05.1987;308.8406;0.076875
26.05.1987;316.4478;0.076875
27.05.1987;316.0318;0.073125
28.05.1987;318.2538;0.074375
29.05.1987;318.3632;0.07375
01.06.1987;318.0669;0.073125
02.06.1987;316.5635;0.074375
03.06.1987;322.0616;0.07375
04.06.1987;323.8394;0.0725
05.06.1987;322.0396;0.0725
08.06.1987;325.6282;0.073125
09.06.1987;326.2428;0.073125
10.06.1987;326.4513;0.0725
11.06.1987;327.834;0.0725
12.06.1987;331.0056;0.07125
15.06.1987;332.6737;0.07125
16.06.1987;334.4515;0.071875
17.06.1987;334.5064;0.071875
18.06.1987;335.4721;0.071875
19.06.1987;336.8768;0.0725
22.06.1987;339.8179;0.071875
23.06.1987;338.4791;0.07125
24.06.1987;336.7561;0.071875
25.06.1987;339.0607;0.071875
26.06.1987;337.0853;0.07375
29.06.1987;337.8974;0.071875
30.06.1987;334.4405;0.071875
01.07.1987;333.2744;0.07125
02.07.1987;336.2337;0.070625
03.07.1987;336.2337;0.070625
06.07.1987;335.4527;0.07125
07.07.1987;338.181;0.070625
08.07.1987;339.1601;0.07
09.07.1987;338.313;0.07
10.07.1987;339.2481;0.07
13.07.1987;338.434;0.069375
14.07.1987;341.7894;0.07
15.07.1987;341.5034;0.06875
16.07.1987;344.0117;0.069875
17.07.1987;346.0909;0.069375
20.07.1987;342.5705;0.06875
21.07.1987;339.4461;0.06875
22.07.1987;339.3581;0.069375
23.07.1987;338.632;0.07
24.07.1987;340.2382;0.070625
27.07.1987;341.7564;0.070625
28.07.1987;343.6046;0.070625
29.07.1987;347.2571;0.07
30.07.1987;349.8974;0.0725
31.07.1987;351.3826;0.07
03.08.1987;350.1807;0.070625
04.08.1987;348.703;0.071875
05.08.1987;351.151;0.070625
06.08.1987;355.1648;0.069375
07.08.1987;356.1682;0.070625
10.08.1987;361.6817;0.070625
11.08.1987;367.559;0.07
12.08.1987;366.5225;0.069375
13.08.1987;369.0146;0.069875
14.08.1987;368.2868;0.07
17.08.1987;368.4191;0.069375
18.08.1987;363.06;0.07
19.08.1987;363.6996;0.070625
20.08.1987;369.2241;0.070625
21.08.1987;370.3929;0.070625
24.08.1987;367.559;0.07125
25.08.1987;371.3523;0.07
26.08.1987;368.9263;0.07
27.08.1987;365.4088;0.07125
28.08.1987;360.6231;0.0725
31.08.1987;364.4935;0.0725
01.09.1987;357.4203;0.0725
02.09.1987;355.5194;0.07375
03.09.1987;353.8947;0.073125
04.09.1987;350.0155;0.073125
07.09.1987;350.0155;0.073125
08.09.1987;346.5452;0.07625
09.09.1987;346.943;0.076875
10.09.1987;350.4907;0.079375
11.09.1987;355.8509;0.07625
14.09.1987;357.0666;0.075
15.09.1987;351.1649;0.075625
16.09.1987;347.9819;0.0775
17.09.1987;348.0593;0.076875
18.09.1987;347.9819;0.076875
21.09.1987;343.2075;0.07625
22.09.1987;353.11;0.076875
23.09.1987;354.9778;0.07625
24.09.1987;353.3532;0.076875
25.09.1987;353.8395;0.076875
28.09.1987;357.1993;0.078125
29.09.1987;355.5304;0.080625
30.09.1987;356.503;0.0825
01.10.1987;362.5955;0.0825
02.10.1987;363.4153;0.0825
05.10.1987;363.4263;0.083125
06.10.1987;353.6118;0.084375
07.10.1987;352.8585;0.085625
08.10.1987;348.0066;0.08625
09.10.1987;344.5837;0.08625
12.10.1987;342.7227;0.08625
13.10.1987;348.4054;0.08875
14.10.1987;338.1145;0.08875
15.10.1987;330.1942;0.091875
16.10.1987;313.1572;0.091875
19.10.1987;249.0636;0.093125
20.10.1987;262.3453;0.08875
21.10.1987;286.2171;0.083125
22.10.1987;274.9957;0.08125
23.10.1987;274.9625;0.076875
26.10.1987;252.1985;0.076875
27.10.1987;258.3132;0.07875
28.10.1987;258.4129;0.07875
29.10.1987;271.1408;0.0775
30.10.1987;279.7257;0.07625
02.11.1987;284.1251;0.0775
03.11.1987;278.6481;0.076875
04.11.1987;276.5817;0.075625
05.11.1987;282.7142;0.073125
06.11.1987;278.1926;0.071875
09.11.1987;270.1494;0.07375
10.11.1987;265.5167;0.074375
11.11.1987;268.7385;0.074375
12.11.1987;276.0929;0.07375
13.11.1987;272.8934;0.074375
16.11.1987;274.1377;0.075
17.11.1987;270.0049;0.07625
18.11.1987;272.7934;0.075
19.11.1987;266.6832;0.075
20.11.1987;268.8495;0.075
23.11.1987;269.9494;0.075
24.11.1987;273.7266;0.075
25.11.1987;271.1825;0.075625
26.11.1987;271.1825;0.075625
27.11.1987;267.0054;0.07875
30.11.1987;256.6735;0.08
01.12.1987;258.5682;0.078125
02.12.1987;260.1843;0.07875
03.12.1987;251.0007;0.07875
04.12.1987;249.5629;0.078125
07.12.1987;254.9572;0.079375
08.12.1987;261.8115;0.080625
09.12.1987;266.2473;0.08125
10.12.1987;260.318;0.08125
11.12.1987;262.2684;0.0825
14.12.1987;269.9252;0.08375
15.12.1987;270.605;0.08375
16.12.1987;276.4897;0.08125
17.12.1987;270.8056;0.080625
18.12.1987;277.6934;0.08125
21.12.1987;278.1169;0.079375
22.12.1987;278.5738;0.079375
23.12.1987;282.1514;0.08
24.12.1987;280.8809;0.079375
25.12.1987;280.8809;0.079375
28.12.1987;273.6922;0.079375
29.12.1987;272.6;0.079375
30.12.1987;276.2445;0.074375
31.12.1987;276.1999;0.074375
01.01.1988;276.1999;0.074375
04.01.1988;286.188;0.07375
05.01.1988;289.2674;0.0725
06.01.1988;289.5582;0.07375
07.01.1988;291.9965;0.07375
08.01.1988;272.2478;0.073125
11.01.1988;276.855;0.073125
12.01.1988;274.545;0.073125
13.01.1988;275.0171;0.073125
14.01.1988;275.0954;0.073125
15.01.1988;282.0186;0.074375
18.01.1988;281.8284;0.0720313
19.01.1988;278.9786;0.071875
20.01.1988;271.4928;0.0725
21.01.1988;272.0634;0.071875
22.01.1988;275.8287;0.07125
25.01.1988;282.2629;0.070625
26.01.1988;279.4041;0.07125
27.01.1988;279.1925;0.07125
28.01.1988;283.5699;0.07
29.01.1988;287.8175;0.06875
01.02.1988;285.6197;0.06875
02.02.1988;286.3331;0.069375
03.02.1988;282.5821;0.068125
04.02.1988;282.7781;0.06875
05.02.1988;281.6031;0.06875
08.02.1988;279.5788;0.068125
09.02.1988;282.5587;0.068125
10.02.1988;288.1342;0.0675
11.02.1988;287.3517;0.06625
12.02.1988;289.3793;0.066875
15.02.1988;289.3793;0.066875
16.02.1988;291.9201;0.069375
17.02.1988;291.2404;0.069375
18.02.1988;289.7853;0.069375
19.02.1988;293.955;0.06875
22.02.1988;298.5518;0.069375
23.02.1988;297.8853;0.069375
24.02.1988;297.3042;0.068125
25.02.1988;294.1044;0.068125
26.02.1988;295.1062;0.06875
29.02.1988;301.2341;0.068125
01.03.1988;300.6289;0.068125
02.03.1988;301.5436;0.068125
03.03.1988;301.4333;0.0675
04.03.1988;300.8133;0.0675
07.03.1988;300.9528;0.06875
